index,symbol,open,high,low,close,volume
2017-01-02,BBVA.MC,6.459,6.474,6.374,6.0952,19607737.0
2017-01-03,BBVA.MC,6.48,6.686,6.452,6.2135,160332414.0
2017-01-04,BBVA.MC,6.585,6.601,6.434,6.1472,179333129.0
2017-01-05,BBVA.MC,6.463,6.554,6.437,6.169,144550880.0
2017-01-06,BBVA.MC,6.53,6.578,6.454,6.2144,113930823.0
2017-01-09,BBVA.MC,6.585,6.589,6.47,6.2633,33421900.0
2017-01-10,BBVA.MC,6.464,6.464,6.344,6.1663,98132610.0
2017-01-11,BBVA.MC,6.33,6.33,6.121,5.9645,96047571.0
2017-01-12,BBVA.MC,6.1,6.218,6.035,5.9345,31491231.0
2017-01-13,BBVA.MC,6.16,6.303,6.138,6.0489,86007013.0
2017-01-16,BBVA.MC,6.165,6.179,6.111,5.9558,51069191.0
2017-01-17,BBVA.MC,6.12,6.178,6.091,5.9451,160809033.0
2017-01-18,BBVA.MC,6.16,6.175,6.093,5.9529,108035084.0
2017-01-19,BBVA.MC,6.166,6.189,6.088,5.9335,85487738.0
2017-01-20,BBVA.MC,6.138,6.185,6.1,5.9384,36164836.0
2017-01-23,BBVA.MC,6.072,6.12,6.01,5.9034,32722475.0
2017-01-24,BBVA.MC,6.11,6.27,6.093,6.079,44258490.0
2017-01-25,BBVA.MC,6.35,6.532,6.34,6.2711,46973058.0
2017-01-26,BBVA.MC,6.522,6.569,6.387,6.2206,34914763.0
2017-01-27,BBVA.MC,6.405,6.408,6.275,6.1925,28575827.0
2017-01-30,BBVA.MC,6.338,6.395,6.299,6.1236,18157751.0
2017-01-31,BBVA.MC,6.324,6.44,6.271,6.0868,25278830.0
2017-02-01,BBVA.MC,6.42,6.432,6.101,6.0024,57064424.0
2017-02-02,BBVA.MC,6.15,6.166,6.065,5.9432,44245028.0
2017-02-03,BBVA.MC,6.17,6.217,6.12,5.9966,37690071.0
2017-02-06,BBVA.MC,6.216,6.249,6.1,5.9364,23254523.0
2017-02-07,BBVA.MC,6.1,6.163,6.051,5.9248,19695978.0
2017-02-08,BBVA.MC,6.155,6.174,5.916,5.8511,49043832.0
2017-02-09,BBVA.MC,6.04,6.063,5.955,5.8714,49844215.0
2017-02-10,BBVA.MC,6.117,6.125,5.95,5.7938,30270635.0
2017-02-13,BBVA.MC,6.001,6.094,5.945,5.8782,22224425.0
2017-02-14,BBVA.MC,6.071,6.245,6.036,6.0373,52411055.0
2017-02-15,BBVA.MC,6.36,6.47,6.35,6.2274,57833734.0
2017-02-16,BBVA.MC,6.4,6.429,6.281,6.1246,25294971.0
2017-02-17,BBVA.MC,6.323,6.34,6.179,6.0528,33666684.0
2017-02-20,BBVA.MC,6.297,6.326,6.232,6.0596,22118845.0
2017-02-21,BBVA.MC,6.222,6.291,6.145,6.0431,15577400.0
2017-02-22,BBVA.MC,6.231,6.315,6.115,6.013,30509640.0
2017-02-23,BBVA.MC,6.218,6.225,6.114,5.9607,28695875.0
2017-02-24,BBVA.MC,6.16,6.187,6.007,5.8918,28972838.0
2017-02-27,BBVA.MC,6.09,6.159,6.08,5.9471,15711177.0
2017-02-28,BBVA.MC,6.154,6.198,6.115,5.9927,31188548.0
2017-03-01,BBVA.MC,6.22,6.375,6.216,6.1692,32617818.0
2017-03-02,BBVA.MC,6.362,6.448,6.311,6.1838,26860631.0
2017-03-03,BBVA.MC,6.37,6.59,6.34,6.3884,48236879.0
2017-03-06,BBVA.MC,6.555,6.653,6.531,6.404,28217134.0
2017-03-07,BBVA.MC,6.592,6.602,6.529,6.3943,16726168.0
2017-03-08,BBVA.MC,6.599,6.697,6.576,6.4331,26414734.0
2017-03-09,BBVA.MC,6.608,6.899,6.607,6.6746,52657784.0
2017-03-10,BBVA.MC,6.897,7.013,6.821,6.6853,51039834.0
2017-03-13,BBVA.MC,6.899,6.938,6.811,6.6775,16862832.0
2017-03-14,BBVA.MC,6.899,6.9,6.773,6.5921,21699995.0
2017-03-15,BBVA.MC,6.793,6.919,6.793,6.6358,27586179.0
2017-03-16,BBVA.MC,6.977,7.098,6.931,6.8443,60788046.0
2017-03-17,BBVA.MC,7.086,7.176,7.056,6.8686,67175349.0
2017-03-20,BBVA.MC,7.042,7.138,7.02,6.8715,18424436.0
2017-03-21,BBVA.MC,7.164,7.235,7.087,6.9074,34580017.0
2017-03-22,BBVA.MC,7.063,7.228,6.97,6.9355,117249163.0
2017-03-23,BBVA.MC,7.17,7.232,7.105,6.9927,31287746.0
2017-03-24,BBVA.MC,7.157,7.208,7.134,6.9733,52763703.0
2017-03-27,BBVA.MC,7.067,7.195,7.043,6.9753,45987236.0
2017-03-28,BBVA.MC,7.21,7.289,7.193,7.048,46609886.0
2017-03-29,BBVA.MC,7.29,7.315,7.121,6.9675,35157185.0
2017-03-30,BBVA.MC,7.177,7.216,7.118,6.9937,20032057.0
2017-03-31,BBVA.MC,7.18,7.27,7.141,7.0519,37177222.0
2017-04-03,BBVA.MC,7.146,7.162,6.935,6.8613,38870467.0
2017-04-04,BBVA.MC,6.949,7.01,6.847,6.8968,26742495.0
2017-04-05,BBVA.MC,7.0,7.12,6.996,6.968,31863781.0
2017-04-06,BBVA.MC,6.965,7.146,6.94,7.045,27129121.0
2017-04-07,BBVA.MC,7.087,7.141,7.028,7.0341,47359426.0
2017-04-10,BBVA.MC,7.101,7.113,7.02,6.9571,40586192.0
2017-04-11,BBVA.MC,6.991,7.078,6.97,6.9363,52551200.0
2017-04-12,BBVA.MC,7.06,7.096,6.911,6.8652,44883350.0
2017-04-13,BBVA.MC,6.94,6.95,6.801,6.7724,34749187.0
2017-04-18,BBVA.MC,6.856,6.885,6.744,6.7101,24913033.0
2017-04-19,BBVA.MC,6.812,6.965,6.803,6.8534,124232158.0
2017-04-20,BBVA.MC,6.931,7.075,6.909,6.9344,38413990.0
2017-04-21,BBVA.MC,7.06,7.147,6.963,7.0085,47690158.0
2017-04-24,BBVA.MC,7.499,7.614,7.39,7.5211,96462708.0
2017-04-25,BBVA.MC,7.65,7.698,7.525,7.5369,45236080.0
2017-04-26,BBVA.MC,7.7,7.705,7.523,7.5191,39533289.0
2017-04-27,BBVA.MC,7.55,7.588,7.345,7.3641,45616293.0
2017-04-28,BBVA.MC,7.377,7.519,7.3,7.2594,38041538.0
2017-05-02,BBVA.MC,7.349,7.475,7.343,7.3492,30394488.0
2017-05-03,BBVA.MC,7.46,7.519,7.426,7.4135,43928201.0
2017-05-04,BBVA.MC,7.565,7.666,7.53,7.5725,37916248.0
2017-05-05,BBVA.MC,7.643,7.827,7.606,7.7049,33002864.0
2017-05-08,BBVA.MC,7.87,7.889,7.67,7.6673,24237998.0
2017-05-09,BBVA.MC,7.77,7.815,7.605,7.5122,25130994.0
2017-05-10,BBVA.MC,7.553,7.61,7.462,7.4589,38199085.0
2017-05-11,BBVA.MC,7.571,7.596,7.385,7.2959,42860382.0
2017-05-12,BBVA.MC,7.4,7.44,7.329,7.2979,26452186.0
2017-05-15,BBVA.MC,7.449,7.467,7.372,7.3483,19980529.0
2017-05-16,BBVA.MC,7.43,7.5,7.381,7.3492,19160943.0
2017-05-17,BBVA.MC,7.379,7.444,7.249,7.211,27435077.0
2017-05-18,BBVA.MC,7.24,7.33,7.135,7.1517,35561958.0
2017-05-19,BBVA.MC,7.256,7.423,7.256,7.3236,48959780.0
2017-05-22,BBVA.MC,7.42,7.434,7.304,7.2386,20036836.0
2017-05-23,BBVA.MC,7.278,7.538,7.267,7.3878,19983343.0
2017-05-24,BBVA.MC,7.505,7.54,7.433,7.3957,18111830.0
2017-05-25,BBVA.MC,7.55,7.588,7.462,7.3868,14684647.0
2017-05-26,BBVA.MC,7.459,7.459,7.285,7.3591,20103419.0
2017-05-29,BBVA.MC,7.386,7.5,7.386,7.3937,10302689.0
2017-05-30,BBVA.MC,7.392,7.505,7.306,7.2722,32717890.0
2017-05-31,BBVA.MC,7.383,7.437,7.252,7.1635,28350402.0
2017-06-01,BBVA.MC,7.27,7.278,7.145,7.128,32453775.0
2017-06-02,BBVA.MC,7.317,7.384,7.211,7.1507,22108889.0
2017-06-05,BBVA.MC,7.223,7.298,7.179,7.1645,12810554.0
2017-06-06,BBVA.MC,7.208,7.234,7.152,7.0974,26038606.0
2017-06-07,BBVA.MC,7.248,7.425,7.18,7.2416,33769977.0
2017-06-08,BBVA.MC,7.333,7.485,7.3,7.3532,39227134.0
2017-06-09,BBVA.MC,7.406,7.58,7.333,7.367,23205306.0
2017-06-12,BBVA.MC,7.426,7.457,7.316,7.2603,35685831.0
2017-06-13,BBVA.MC,7.345,7.483,7.34,7.3265,22178159.0
2017-06-14,BBVA.MC,7.44,7.515,7.283,7.2208,32783255.0
2017-06-15,BBVA.MC,7.315,7.317,7.17,7.208,40063685.0
2017-06-16,BBVA.MC,7.334,7.38,7.22,7.2218,83332177.0
2017-06-19,BBVA.MC,7.381,7.459,7.36,7.3196,30024329.0
2017-06-20,BBVA.MC,7.468,7.472,7.32,7.2524,15441546.0
2017-06-21,BBVA.MC,7.31,7.355,7.196,7.2495,18671841.0
2017-06-22,BBVA.MC,7.3,7.335,7.215,7.2228,29978209.0
2017-06-23,BBVA.MC,7.273,7.356,7.225,7.1497,12263283.0
2017-06-26,BBVA.MC,7.27,7.387,7.263,7.2208,14022473.0
2017-06-27,BBVA.MC,7.305,7.411,7.283,7.284,33920075.0
2017-06-28,BBVA.MC,7.35,7.495,7.29,7.3868,33297286.0
2017-06-29,BBVA.MC,7.513,7.61,7.385,7.3107,30285954.0
2017-06-30,BBVA.MC,7.424,7.483,7.259,7.1764,25194599.0
2017-07-03,BBVA.MC,7.341,7.509,7.32,7.4174,20405931.0
2017-07-04,BBVA.MC,7.441,7.53,7.423,7.369,47661858.0
2017-07-05,BBVA.MC,7.459,7.57,7.438,7.373,23387740.0
2017-07-06,BBVA.MC,7.5,7.54,7.392,7.4293,22371111.0
2017-07-07,BBVA.MC,7.508,7.557,7.464,7.4391,17632038.0
2017-07-10,BBVA.MC,7.57,7.587,7.466,7.4302,14096802.0
2017-07-11,BBVA.MC,7.55,7.567,7.488,7.4293,26138041.0
2017-07-12,BBVA.MC,7.558,7.564,7.492,7.4233,14191083.0
2017-07-13,BBVA.MC,7.56,7.68,7.559,7.5616,20122180.0
2017-07-14,BBVA.MC,7.68,7.767,7.628,7.5843,26374296.0
2017-07-17,BBVA.MC,7.709,7.709,7.576,7.5399,27085143.0
2017-07-18,BBVA.MC,7.618,7.661,7.458,7.3976,18116751.0
2017-07-19,BBVA.MC,7.512,7.518,7.375,7.4154,43415049.0
2017-07-20,BBVA.MC,7.53,7.586,7.485,7.4381,39857835.0
2017-07-21,BBVA.MC,7.515,7.515,7.361,7.3305,28569674.0
2017-07-24,BBVA.MC,7.45,7.538,7.366,7.4223,21909955.0
2017-07-25,BBVA.MC,7.495,7.749,7.491,7.5725,27989172.0
2017-07-26,BBVA.MC,7.643,7.699,7.593,7.5764,15361164.0
2017-07-27,BBVA.MC,7.59,7.74,7.59,7.608,16396808.0
2017-07-28,BBVA.MC,7.685,7.725,7.604,7.614,29133285.0
2017-07-31,BBVA.MC,7.702,7.755,7.628,7.5577,19451185.0
